"﻿""Название предмета""";Сезонность ниши;Дата обнаружения;Товары, шт.;Количество новинок;Товары с остатками, шт.;% товаров с остатками;Товары с продажами, шт.;% товаров с продажами;% товаров с продажами от товаров с движением;Бренды;Бренды с продажами;% брендов с продажами;Продавцы;Продавцы с продажами;% продавцов с продажами;Продажи, шт.;Выручка, ₽;Упущенная выручка, ₽;Упущенная выручка %;Потенциал, ₽;Суммарные остатки, шт.;Замороженный остаток, шт.;Замороженный остаток в цене, ₽;Замороженный остаток, %;Оборачиваемость, дн.;Минимальная цена, ₽;Максимальная цена, ₽;Средняя цена, ₽;Медианная цена, ₽;Минимальная цена с продажами, ₽;Максимальная цена с продажами, ₽;Средняя цена с продажами, ₽;Медианная цена с продажами, ₽;Средний рейтинг;Средний рейтинг с продажами;Процент выкупа, %
Хобби и творчество / Музыкальные инструменты / Аксессуары к музыкальным инструментам / Кабели и блоки питания для музыкальных инструментов;2;2020-01-04;25501;7018;319;1,25;192;0,75;60,19;367;39;10,63;5889;64;1,09;4082;3806017;1037834;21,43;4843851;5109;1971;2588769;38,58;37,55;22;476391;3211,14;775;139;6397;1459,34;1252;4,82;4,67;69,2
Спорт и отдых / Товары для велоспорта / Грипсы и ручки велосипедные;2;2020-01-04;34451;6249;1181;3,43;748;2,17;63,34;543;113;20,81;10442;197;1,89;7411;3805433;1290035;25,32;5095468;25480;18300;8574544;71,82;103,14;0;865427;2970,97;603;20;9328;758,24;481;4,8;4,63;78,6
Строительство и ремонт / Двери, окна, лестницы и комплектующие / Крыльцо и козырьки;2;2020-12-20;18188;1712;259;1,42;137;0,75;52,9;89;22;24,72;3150;44;1,4;566;3795819;2819142;42,62;6614961;1296;821;6199604;63,35;68,69;658;141711;13694,26;9898,5;1479;65105;8184,68;6441;4,69;4,81;86,1
Строительство и ремонт / Строительные материалы / Водосточные системы;2;2020-07-11;16695;2804;608;3,64;303;1,81;49,84;228;30;13,16;3592;56;1,56;875;3787606;11293140;74,88;15080746;1330;846;3253330;63,61;45,6;2;247962;4633,02;2731;100;31657;3726,9;1400;4,82;4,69;90,2
Дом и сад / Ритуальные товары / Оформление могилы;2;2020-12-10;17010;4705;563;3,31;357;2,1;63,41;148;45;30,41;6888;104;1,51;2933;3778261;3439462;47,65;7217723;5418;2961;5254049;54,65;55,42;45;193610;5973,58;1172;66;35000;3043,03;2126;4,79;4,78;83,5
Автотовары / Мототовары / Мотоаксессуары / Мотоакустика;2;2020-01-04;39309;11725;165;0,42;121;0,31;73,33;407;28;6,88;12942;58;0,45;1069;3772550;3405867;47,45;7178417;2208;1272;4286822;57,61;61,96;77;833259;7744,86;2245;847;62605;6133,98;3195;4,61;4,57;87,1
Детские товары / Подгузники и гигиена / Купание ребенка / Аксессуары для купания;2;2020-01-04;35314;6259;296;0,84;176;0,5;59,46;338;34;10,06;13319;71;0,53;9413;3759178;1470508;28,12;5229686;9192;3243;1836900;35,28;29,3;56;193733;2267,74;533;159;2446;601,3;537;4,74;4,5;93,0
Туризм, рыбалка, охота / Рыбалка / Прикормки, насадки и ароматизаторы для рыбалки / Ароматизаторы для рыбалки;2;2020-01-04;9433;1202;1292;13,7;888;9,41;68,73;185;93;50,27;1692;145;8,57;11183;3753973;1762521;31,95;5516494;20032;9900;4299190;49,42;53,74;56;63425;1166,23;478;78;2745;515,66;391;4,8;4,82;85,4
Ювелирные украшения / Часы ювелирные / Серебряные часы;2;2020-01-04;1352;54;42;3,11;40;2,96;95,24;8;3;37,5;16;3;18,75;198;3746884;9784736;72,31;13531620;195;42;561338;21,54;29,55;6936;395923;49952,02;41860;8621;73448;24129,55;19152,5;4,9;4,53;76,5
Строительство и ремонт / Двери, окна, лестницы и комплектующие / Ручки, замки и фурнитура / Дверные накладки и глазки;1;2020-01-04;28264;5104;1595;5,64;838;2,96;52,54;312;93;29,81;7289;158;2,17;11610;3745390;1419479;27,48;5164869;24438;12845;5555511;52,56;63,15;22;195486;1619,32;570;110;18860;673,26;422;4,8;4,44;89,1
Электроника / Охранные системы и видеонаблюдение / Персональные видеорегистраторы;2;2020-01-18;597;51;171;28,64;112;18,76;65,5;64;26;40,62;150;46;30,67;693;3745056;2717613;42,05;6462669;991;434;3088610;43,79;42,9;73;438715;15776,38;10368;1046;24017;7517,29;5386,5;4,57;4,48;86,7
Бытовая техника / Техника для кухни / Мясорубки и насадки / Насадки для комбайнов и мясорубок;2;2020-01-04;1061;64;220;20,74;164;15,46;74,55;74;38;51,35;187;70;37,43;5123;3738122;2734465;42,25;6472587;4781;679;1641321;14,2;28;134;60311;3910,68;1599;161;21254;3164,57;1383;4,73;4,38;89,3
Аптека / Товары для реабилитации / Протезы и аксессуары;1;2021-05-13;1350;148;326;24,15;255;18,89;78,22;21;13;61,9;437;13;2,97;1451;3734783;2728796;42,22;6463579;1163;281;1579598;24,16;24,05;134;197184;7078,26;2972,5;225;41142;3891,98;2309;4,8;4,75;90,0
Красота и здоровье / Макияж / Аксессуары для макияжа / Точилки для макияжа;1;2020-01-04;7343;2122;131;1,78;111;1,51;84,73;136;47;34,56;4252;74;1,74;23000;3727083;859864;18,75;4586947;30688;12095;2019609;39,41;40,03;0;196380;14070,53;717;86;1200;252,68;182;4,84;4,64;87,4
Строительство и ремонт / Крепеж и фурнитура / Крепежные изделия и метизы / Прочий крепеж;1;2020-01-04;40104;8437;1760;4,39;984;2,45;55,91;537;90;16,76;8283;172;2,08;8366;3700441;3538790;48,88;7239231;20450;12695;6157755;62,08;73,33;0;197966;1433,05;495;58;26015;592,62;266;4,85;4,83;90,8
Обувь / Мужская обувь / Аквашузы мужские;2;2020-01-04;9258;551;271;2,93;214;2,31;78,97;92;25;27,17;683;32;4,69;2688;3699291;620518;14,36;4319809;7943;5450;8591731;68,61;88,65;145;1010702;4302,22;2200;314;8392;2053,69;1963,5;4,75;4,79;49,1
Детские товары / Товары для школы и обучения / Счетный материал;2;2020-01-04;21341;6868;386;1,81;277;1,3;71,76;321;68;21,18;8135;110;1,35;23157;3696847;582377;13,61;4279224;51966;31891;7295837;61,37;67,32;45;207425;4158;710,5;67;11963;503,42;290;4,8;4,49;80,9
Цифровые товары / Цифровые игры и игровые подписки / Цифровые игры и подписки для PlayStation;2;2020-05-18;780;692;690;88,46;131;16,79;18,99;6;2;33,33;4;3;75;1279;3693863;2340013;38,78;6033876;23737;22010;77535899;92,72;556,77;51;30417;3986,71;2874;998;17900;3039,21;1999;4,96;4,93;99
Спорт и отдых / Виды спорта / Бейсбол;1;2020-01-04;46061;9153;566;1,23;309;0,67;54,59;341;34;9,97;9002;63;0,7;4065;3678299;1695147;31,55;5373446;7140;3173;3169163;44,44;52,69;0;194481;11326,09;2322;72;8452;1464,42;1313;4,87;4,55;76,6
Автотовары / Запчасти для легковых автомобилей / Трансмиссия / Дифференциал и комплектующие;2;2020-04-25;9339;395;538;5,76;268;2,87;49,81;398;82;20,6;754;168;22,28;1007;3670686;10148559;73,44;13819245;2171;1416;3286502;65,22;64,68;70;1117366;6294,67;1379;70;48759;6528,82;1319;4,81;4,48;89,5
Товары для животных / Товары для фермерского хозяйства / Оборудование для сельского хозяйства / Оборудование для удаления навоза;2;2020-08-03;6514;1950;196;3,01;143;2,2;72,96;98;34;34,69;4685;56;1,2;5589;3662471;818812;18,27;4481283;13771;7794;6714010;56,6;73,92;130;603498;4021,53;1000;193;10512;1036,93;753;4,73;4,75;89,1
Аптека / Ручные массажеры и аппликаторы / Рефлекторные тапочки;1;2020-01-04;578;2;285;49,31;165;28,55;57,89;14;10;71,43;35;14;40;2159;3653047;475620;11,52;4128667;7467;5043;7422388;67,54;103,76;190;8000;1711,12;1735;204;4802;1848,2;1718;4,7;4,75;93,7
Дом и сад / Декор и интерьер / Держатели и подставки интерьерные / Медальницы;2;2020-01-11;15075;2747;1013;6,72;522;3,46;51,53;145;41;28,28;5195;91;1,75;3096;3644554;2487866;40,57;6132420;4076;2222;3851688;54,51;39,5;77;834715;2603,43;1044;183;9370;1470,05;1218;4,83;4,83;83,6
Канцелярские товары / Бумажная продукция / Дневники;2;2020-01-04;44794;1905;3494;7,8;1656;3,7;47,4;262;101;38,55;2396;160;6,68;19089;3641873;1034684;22,12;4676557;117235;96069;18969784;81,95;184,24;30;199261;1143,07;980;30;2483;300,3;237;4,93;4,8;87,1
Автотовары / Мототовары / Экипировка для снегоходов / Перчатки для снегохода;3;2020-01-04;16445;1806;204;1,24;147;0,89;72,06;87;24;27,59;5661;33;0,58;902;3633563;4468156;55,15;8101719;581;268;1170997;46,13;19,32;134;197463;11615,86;9783,5;729;24325;7037,92;6515;4,81;4,51;90,5
Строительство и ремонт / Лакокрасочные материалы / Покрытия для дерева / Лазури для дерева;2;2020-01-04;12874;409;909;7,06;407;3,16;44,77;128;53;41,41;258;80;31,01;1692;3629526;5242169;59,09;8871695;8291;6767;18063533;81,62;147;164;332000;6409,03;3796,5;273;30127;3417,88;2100;4,84;4,81;88,9
Хобби и творчество / Рукоделие / Инструменты и инвентарь для рукоделия / Трафареты и шаблоны для рукоделия;2;2020-01-04;34865;9873;1147;3,29;735;2,11;64,08;396;88;22,22;9761;176;1,8;11537;3621907;1894451;34,34;5516358;19039;9575;5338606;50,29;49,51;33;3137252;1548,99;385;56;3669;432,65;281;4,85;4,64;90,6
Аптека / Медицинские изделия и расходные материалы / Диагностические тесты;2;2020-01-04;504;50;156;30,95;119;23,61;76,28;53;30;56,6;92;45;48,91;7466;3619993;999913;21,64;4619906;11806;5699;3375913;48,27;47,44;85;31000;2042,12;763;133;4829;925,48;667;4,84;4,36;89,1
Аксессуары / Мужские аксессуары / Головные уборы мужские / Комплекты аксессуаров мужские;1;2020-01-04;4045;0;192;4,75;152;3,76;79,17;66;20;30,3;1687;36;2,13;3605;3617169;1024668;22,07;4641837;2200;914;993029;41,55;18,31;89;81930;2473,69;547;331;7724;1323,05;989;4,74;4,82;70,5
Автотовары / Запчасти для грузовиков и спецтехники / Двигатели грузовых автомобилей;2;2020-10-31;57267;6255;1619;2,83;626;1,09;38,67;1140;168;14,74;2065;215;10,41;1436;3606423;7108969;66,34;10715392;3494;2713;7193656;77,65;72,99;20;3408373;6627,72;1900,5;20;47916;3160,42;1055,5;4,83;3,7;89,8
Канцелярские товары / Бумажная продукция / Анкеты и дневники личные;2;2020-01-04;7470;1896;389;5,21;310;4,15;79,69;140;44;31,43;3748;76;2,03;9111;3593166;601287;14,34;4194453;14173;6622;3189054;46,72;46,67;77;860522;4279,5;1315;108;5100;525,88;386,5;4,83;4,67;88,8
Дом и сад / Дача и сад / Водоснабжение для дачи / Водоотвод и дренаж;2;2020-01-04;37053;8283;2239;6,04;1017;2,74;45,42;374;77;20,59;5283;192;3,63;3319;3577124;4307395;54,63;7884519;9648;7227;8147509;74,91;87,21;0;500000;2067,02;938;20;19771;1310,07;741;4,85;4,65;90,8
Хобби и творчество / Рукоделие / Аксессуары и материалы для рукоделия / Воск и сургуч для рукоделия;2;2020-01-04;45053;7452;979;2,17;708;1,57;72,32;214;51;23,83;8811;101;1,15;6165;3574874;2622042;42,31;6196916;12904;7186;4433882;55,69;62,79;0;199998;1295,37;302;140;3577;670,75;528;4,9;4,78;70,9
Книги / Нехудожественная литература / Книги: Путешествия и путеводители;2;2020-01-04;5619;0;3533;62,88;431;7,67;12,2;15;8;53,33;174;58;33,33;4247;3572618;1046013;22,65;4618631;12756;8335;6142074;65,34;90,11;5;400000;1311,9;513;85;15367;947,19;655;4,8;4,6;91,5
Туризм, рыбалка, охота / Туризм и отдых на природе / Термосумки и аксессуары / Аксессуары для термосумок;2;2020-01-04;10973;2591;390;3,55;278;2,53;71,28;210;56;26,67;5126;100;1,95;7812;3572548;1113697;23,77;4686245;7811;3798;2213812;48,62;30;0;193956;4482,11;805,5;133;8019;638,55;513;4,77;4,72;69,3
Автотовары / Инструменты и оборудование для авто / Ручные инструменты для автомобиля / Гайковерты ручные;1;2020-01-04;7944;1558;118;1,49;67;0,84;56,78;196;21;10,71;2779;29;1,04;1029;3555894;1267885;26,28;4823779;1322;682;3958613;51,59;38,54;0;970524;8848,99;4037;132;8680;4642,12;4596;4,73;4,12;87,1
Дом и сад / Хранение вещей / Мешочки и пакеты для хранения вещей;2;2020-01-04;65921;9745;901;1,37;645;0,98;71,59;443;88;19,86;12689;202;1,59;9296;3544600;1798411;33,66;5343011;17239;8839;4214363;51,27;55,63;0;36747273;2198,35;257;80;6773;642,08;455;4,79;4,79;83,5
Туризм, рыбалка, охота / Одежда для рыбалки и охоты / Брюки для рыбалки и охоты;1;2020-01-04;4352;0;687;15,79;316;7,26;46;106;44;41,51;487;60;12,32;652;3538443;5061880;58,86;8600323;1897;1428;9466367;75,28;87,29;445;217980;6092,76;2401;834;217980;7188,9;5111;4,65;4,53;41,8
Дом и сад / Посуда и кухонные принадлежности / Предметы для сервировки стола / Розетки и креманки;1;2020-01-04;22735;4607;609;2,68;406;1,79;66,67;327;92;28,13;11513;170;1,48;3692;3533144;2381191;40,26;5914335;6887;3851;4806491;55,92;55,96;56;192728;2168,92;739;139;27376;1427,89;1133,5;4,81;4,65;86,1
Спорт и отдых / Электротранспорт / Аксессуары для электротранспорта;2;2020-07-09;69208;14003;524;0,76;407;0,59;77,67;236;34;14,41;18640;97;0,52;3931;3532632;1844006;34,3;5376638;7670;4034;4574329;52,59;58,53;20;834827;5007,84;1921;20;14517;1392,22;984;4,66;4,63;79,9
Автотовары / Товары для гаражей и автосервисов / Диагностическое оборудование / Оборудование для чип-тюнинга;1;2020-07-26;7617;1182;98;1,29;72;0,95;73,47;113;17;15,04;2478;38;1,53;917;3528673;2485635;41,33;6014308;713;341;1716854;47,83;23,33;22;355862;13916,6;5897;780;81889;8224,38;6878;4,68;4,11;87,4
Бытовая химия и гигиена / Личная гигиена / Товары для гигиены тела / Тальк;2;2020-01-04;1583;59;151;9,54;126;7,96;83,44;99;53;53,54;390;75;19,23;10863;3524549;557262;13,65;4081811;17376;7756;4487352;44,64;47,99;45;36173;1852,1;788;108;4682;778,87;433;4,82;4,62;92,6
Товары для животных / Ветаптека / Товары для животных-инвалидов;2;2020-01-04;31003;6269;199;0,64;155;0,5;77,89;155;8;5,16;9965;27;0,27;1181;3524112;1041318;22,81;4565430;1996;847;1935029;42,43;50,7;77;915177;6906,33;4344;753;18199;4657,77;3659;4,73;4,68;92,1
Строительство и ремонт / Инструменты для ремонта и строительства / Малярные и отделочные инструменты / Кельмы и мастерки;2;2020-01-04;8337;1029;552;6,62;349;4,19;63,22;187;68;36,36;1922;112;5,83;5668;3523155;1441987;29,04;4965142;10439;6096;4633480;58,4;55,25;77;83490;2159,39;1247;128;14020;1005,75;596;4,79;4,68;91,0
Электроника / Фото и видеокамеры / Аксессуары для фото и видеотехники / Фотовспышки;2;2020-01-04;32326;8895;164;0,51;100;0,31;60,98;179;14;7,82;8712;26;0,3;406;3522662;5184197;59,54;8706859;917;442;3273906;48,2;67,76;77;356712;13302,12;8352;2095;178177;15727,61;10186,5;4,82;3,67;90,1
Продукты питания / Масла, соусы и специи / Добавки для приготовления блюд / Сахарная пудра;2;2020-01-04;724;71;141;19,48;120;16,57;85,11;90;41;45,56;210;52;24,76;8456;3504043;935354;21,07;4439397;10183;3552;1415710;34,88;36,13;34;40194;1663,77;750;115;2781;543,03;361,5;4,83;4,86;95,2
Детские товары / Коляски и автокресла / Детские автокресла / Автокресла для группы 0 (0-13 кг);1;2020-01-04;190;0;44;23,16;25;13,16;56,82;29;10;34,48;35;9;25,71;690;3498035;766369;17,97;4264404;716;172;1402223;24,02;31,13;2676;169930;29216,02;23599;2676;55925;11275,08;6124;4,91;4,86;80,9
Строительство и ремонт / Отделочные материалы / Напольные покрытия / Виниловый пол;2;2020-01-04;16448;2927;643;3,91;324;1,97;50,39;142;41;28,87;2725;57;2,09;1316;3497668;4729025;57,48;8226693;3269;2402;10079011;73,48;74,52;76;202131;8097,27;5215;117;9416;3380,96;3579;4,76;4,68;88,7
Дом и сад / Декор и интерьер / Свечи и подсвечники / Аксессуары для свечей;2;2020-11-15;93568;16067;589;0,63;444;0,47;75,38;419;73;17,42;25635;153;0,6;7102;3486863;1686116;32,59;5172979;11085;3612;2568098;32,58;46,82;0;841606;10198,98;722;68;4152;819,59;641,5;4,84;4,75;80,8
Спорт и отдых / Товары для велоспорта / Цепи велосипедные;2;2020-01-04;31998;6694;545;1,7;348;1,09;63,85;349;53;15,19;10281;117;1,14;4470;3477665;886488;20,31;4364153;26082;20395;11484939;78,2;175,05;0;194671;2693,23;782,5;134;10344;1312,4;894;4,72;4,59;75,6
Аксессуары / Детские аксессуары / Аксессуары для мальчиков / Ремни и подтяжки для мальчиков;2;2020-01-04;2243;235;709;31,61;476;21,22;67,14;114;57;50;617;80;12,97;9466;3475270;591447;14,54;4066717;32351;21391;9995070;66,12;102,53;49;43186;2628,25;555;107;2743;534,81;467,5;4,83;4,77;67,4
Аксессуары / Путешествия / Аксессуары для путешествий / Складные тележки для багажа;1;2020-01-04;23837;5317;129;0,54;94;0,39;72,87;237;26;10,97;10132;53;0,52;1909;3468411;2389738;40,79;5858149;3242;1773;3677701;54,69;50,95;78;4194347;5181,06;3697;237;12852;2843,66;2308,5;4,54;4,66;72,9
Аксессуары / Женские аксессуары / Аксессуары для военной формы женские;2;2021-06-05;13046;1826;1132;8,68;661;5,07;58,39;56;25;44,64;1779;59;3,32;9339;3468041;2192944;38,74;5660985;28302;18099;6090804;63,95;90,92;0;98303;768,99;367;85;8656;722,91;277;4,83;4,86;68,8
Дом и сад / Товары для праздников / Праздничный декор / Ёлочные украшения / Подставки и юбки под ёлку;3;2020-01-05;52961;11094;839;1,58;483;0,91;57,57;440;100;22,73;20028;207;1,03;2526;3467653;3200131;47,99;6667784;9932;8210;12684822;82,66;117,96;20;828215;3979,85;994;20;26176;2079,9;1465;4,75;4,68;87,2
Продукты питания / Масла, соусы и специи / Соусы / Соус чили;1;2020-01-04;414;0;89;21,5;81;19,57;91,01;81;34;41,98;123;40;32,52;8949;3467352;1160421;25,08;4627773;9727;3294;2092413;33,86;32,61;122;5236;1022,55;808,5;123;1870;516,95;488;4,87;4,79;94,6
Электроника / Фото и видеокамеры / Беззеркальные фотоаппараты;2;2020-01-04;8100;451;40;0,49;21;0,26;52,5;14;5;35,71;122;16;13,11;42;3467209;6371153;64,76;9838362;21;18;2215801;85,71;15;7487;992622;180701,13;151406;17931;218000;114574,57;98300;4,8;3,07;89,3
Детские товары / Детская комната / Все для сна / Балдахины и москитные сетки для кроватки;2;2020-01-04;25656;5367;338;1,32;273;1,06;80,77;187;43;22,99;10162;66;0,65;2240;3457847;3037652;46,77;6495499;2335;867;1296413;37,13;31,27;33;195872;3803,92;2401;166;10000;2789,18;2317;4,77;4,84;82,4
Хобби и творчество / Моделизм / Фигурки для сборки;2;2020-01-04;53499;10682;1431;2,67;861;1,61;60,17;498;73;14,66;11096;149;1,34;3717;3453814;6881281;66,58;10335095;8704;4876;5271157;56,02;70,25;0;202176;4506,34;2526;38;49633;1488,9;951;4,84;4,63;85,8
Хобби и творчество / Рукоделие / Шитье / Подплечники и манжеты;2;2020-01-04;8112;0;1350;16,64;913;11,25;67,63;77;40;51,95;1883;97;5,15;15280;3445406;2130553;38,21;5575959;8158;3490;1472101;42,78;16,02;66;68857;1898,56;324;67;16014;498,58;426;4,84;4,85;84,9
Строительство и ремонт / Инструменты для ремонта и строительства / Малярные и отделочные инструменты / Правила для отделочных работ;2;2020-01-04;3774;779;141;3,74;82;2,17;58,16;88;28;31,82;1124;32;2,85;3401;3443039;843979;19,69;4287018;6184;3117;3205972;50,4;54,55;67;73587;2500,47;1040;477;10998;1705,32;1050;4,7;4,43;91,6
Бытовая техника / Техника для общепита / Кондитерское и пекарское оборудование;2;2020-03-23;13241;4263;39;0,29;36;0,27;92,31;163;17;10,43;6196;26;0,42;177;3436610;5794479;62,77;9231089;346;257;3827607;74,28;58,64;77;1415960;20124,96;10037,5;203;81252;18413,94;17238;4,7;4,24;92,4
Товары для животных / Товары для кошек / Туалеты и наполнители для кошек / Совки для кошачьего туалета;1;2020-01-04;13731;3727;186;1,35;140;1,02;75,27;173;40;23,12;6470;72;1,11;14910;3418125;310623;8,33;3728748;34445;16445;3001170;47,74;69,31;20;70348;736,17;302;103;1992;443,6;237,5;4,8;4,71;93,8
Строительство и ремонт / Сантехника / Комплекты сантехники;1;2020-01-04;44096;3336;198;0,45;100;0,23;50,51;328;37;11,28;6811;55;0,81;857;3417751;2773961;44,8;6191712;1640;899;6201359;54,82;57,41;11;948166;16392,39;15177;197;56571;9545,35;4927;4,61;4,52;86,8
Продукты питания / Консервация / Овощи консервированные / Имбирь маринованный;2;2020-01-04;260;29;60;23,08;54;20,77;90;43;21;48,84;99;25;25,25;10947;3399311;351385;9,37;3750696;12292;2923;1338377;23,78;33,69;105;9638;887,57;541;148;2844;518,2;404,5;4,81;4,65;96,6
Строительство и ремонт / Водоснабжение / Запорная и регулирующая арматура / Запорные вентили;2;2020-01-04;15035;2799;582;3,87;345;2,29;59,28;492;79;16,06;4855;152;3,13;2903;3372410;2130233;38,71;5502643;6410;3592;4656810;56,04;66,24;22;3234681;13029,08;1295;100;13500;1650,3;1113;4,83;4,47;89,0
Хобби и творчество / Рисование / Аксессуары для рисования / Палитры;2;2020-01-04;38103;8357;518;1,36;398;1,04;76,83;259;54;20,85;14801;94;0,64;15996;3360051;1931815;36,51;5291866;18995;7270;2582519;38,27;35,62;0;886256;10391,51;1097;68;4225;648,38;548;4,79;4,79;71,1
Мебель / Мебель для кухни / Наполнения для кухонных модулей;1;2021-07-10;29183;6325;331;1,13;220;0,75;66,47;223;28;12,56;10287;45;0,44;1504;3356462;4193738;55,54;7550200;2434;1352;2942030;55,55;48,55;56;927701;5150,7;2712;234;26000;3629,9;2202;4,78;4,5;86,3
Детские товары / Игрушки и игры / Игрушечный транспорт / Аксессуары и запчасти для машинок;2;2020-01-04;68069;10830;256;0,38;207;0,3;80,86;343;33;9,62;15807;68;0,43;6166;3352461;1230273;26,85;4582734;10833;3339;2262123;30,82;52,71;0;875680;3000,39;1117;85;7145;1168,58;744;4,8;4,61;82,9
Продукты питания / Консервация / Овощи консервированные / Горошек консервированный;2;2020-01-04;228;0;36;15,79;32;14,04;88,89;40;12;30;58;9;15,52;5850;3349184;417213;11,08;3766397;12471;6796;3825284;54,49;63,95;89;5617;1283,1;1037,5;194;1274;675;681,5;4,81;4,88;99,0
Продукты питания / Колбасы, сосиски и деликатесы / Колбасы;2;2020-01-04;2357;109;14;0,59;10;0,42;71,43;162;3;1,85;64;3;4,69;16307;3334689;2069;0,06;3336758;7090;376;205506;5,3;13,04;55;34544;930,54;571;193;2569;510,4;225;4,83;4,36;94,6
Дом и сад / Дача и сад / Садовый инструмент / Вилы, культиваторы и аэраторы;3;2020-01-04;12215;2718;378;3,09;215;1,76;56,88;397;62;15,62;6069;120;1,98;1857;3334420;1434716;30,08;4769136;7096;5339;8377571;75,24;114,64;56;962935;4140,99;1876;160;34298;2768,92;1833;4,61;4,47;87,5
Продукты питания / Выпечка и сладости / Выпечка и сдоба;2;2020-01-04;11715;1695;303;2,59;221;1,89;72,94;280;62;22,14;2288;72;3,15;6554;3323336;2270866;40,59;5594202;10675;4735;2084410;44,36;48,86;16;880479;3940,63;753;205;4786;853,51;642;4,75;4,51;95,3
Электроника / Офисная техника / Сканеры;2;2020-01-04;12382;3011;69;0,56;48;0,39;69,57;118;16;13,56;4554;24;0,53;358;3317123;5163584;60,89;8480707;352;32;905225;9,09;29,5;190;1198806;19206,26;9062;2205;63962;16351,15;10285;4,6;4,45;85,2
Строительство и ремонт / Двери, окна, лестницы и комплектующие / Ручки, замки и фурнитура / Опечатывающие устройства;1;2020-01-30;3525;730;409;11,6;345;9,79;84,35;58;21;36,21;1492;44;2,95;6533;3306514;1110930;25,15;4417444;8281;3463;2158256;41,82;38,03;77;71911;2854,74;773;143;10991;738,12;471;4,87;4,82;89,2
Электроника / Фото и видеокамеры / Зеркальные фотоаппараты;2;2020-01-04;11001;632;90;0,82;62;0,56;68,89;21;5;23,81;137;33;24,09;73;3305999;11787275;78,1;15093274;55;47;1484353;85,45;22,6;1759;776820;82638,62;63122;3211;295679;49754,85;35846;4,52;3,94;88,4
Книги / Нехудожественная литература / Книги: Компьютерные технологии;2;2020-01-04;4265;0;3283;76,98;260;6,1;7,92;10;3;30;95;22;23,16;2725;3299939;596680;15,31;3896619;8123;6116;10979209;75,29;89,43;5;34116;1880,06;831;225;5000;1537,15;1256,5;4,71;4,59;90,1
Дом и сад / Товары для праздников / Награды и кубки / Грамоты и дипломы;2;2020-01-04;29655;3199;1850;6,24;1174;3,96;63,46;242;46;19,01;4591;105;2,29;9798;3290850;1591985;32,6;4882835;19866;10372;4354850;52,21;60,83;22;62471;1629,55;648;85;7366;422,19;265;4,9;4,8;86,4
Электроника / Комплектующие для ПК / Микроконтроллеры;2;2020-01-04;2240;317;446;19,91;277;12,37;62,11;130;40;30,77;260;100;38,46;4727;3287112;2637655;44,52;5924767;9394;5206;4595630;55,42;59,62;47;1310523;36261,02;1260,5;47;36222;1432,55;726;4,83;4,62;86,3
Хобби и творчество / Пазлы и головоломки / Аксессуары для пазлов;2;2020-01-04;15128;5073;111;0,73;93;0,61;83,78;138;19;13,77;8364;41;0,49;9362;3285710;1555810;32,13;4841520;16772;8056;2502805;48,03;53,74;22;202288;4701,48;2312;74;8792;1752,55;657;4,73;4,72;70,2
Канцелярские товары / Печати и штампы / Подушки штемпельные;2;2020-01-04;10762;2238;581;5,4;414;3,85;71,26;95;26;27,37;3251;54;1,66;11166;3284439;1460037;30,77;4744476;13956;5326;1956338;38,16;37,5;0;89488;3259,63;601;104;4804;583,31;472,5;4,87;4,69;91,7
Бытовая техника / Техника для красоты и здоровья / Ирригаторы и аксессуары / Насадки и аксессуары для ирригаторов;2;2020-01-04;14746;3961;334;2,27;249;1,69;74,55;175;48;27,43;8550;76;0,89;5118;3282599;884169;21,22;4166768;11404;6081;5196783;53,32;66,85;76;849200;6431,36;1999;115;4409;998,36;826;4,76;4,65;92,4
Строительство и ремонт / Сауны и бани / Электрокаменки;2;2020-08-18;5666;954;197;3,48;101;1,78;51,27;97;24;24,74;1750;27;1,54;424;3280337;6600252;66,8;9880589;412;262;5268443;63,59;29,15;279;1657837;37762,35;16522;1365;123803;14854,32;3862;4,76;4,67;89,0
Дом и сад / Аксессуары для ванной / Ковшики для ванной;1;2020-04-01;18177;3953;180;0,99;147;0,81;81,67;174;36;20,69;9473;67;0,71;9304;3277281;787132;19,37;4064413;17698;7583;2387682;42,85;57,07;56;193052;2448,1;348;100;2551;486,97;379;4,78;4,69;83,0
Автотовары / Уход за автомобилем / Воски и полироли для автомобиля / Воски для автомобиля;2;2020-01-04;7783;2931;269;3,46;172;2,21;63,94;199;69;34,67;4273;92;2,15;4060;3270380;758475;18,83;4028855;9957;5979;8179478;60,05;73,57;77;162395;5166,71;1461;176;12426;1518,69;1043,5;4,8;4,57;90,1
Хобби и творчество / Рукоделие / Шитье / Фурнитуры для бюстгальтеров;2;2020-01-04;12124;2277;1217;10,04;837;6,9;68,78;185;44;23,78;2312;101;4,37;14342;3258430;932129;22,24;4190559;32880;16005;3768218;48,68;68,78;55;199574;907,13;413;60;8543;360,17;256;4,88;4,62;89,0
Канцелярские товары / Оборудование и принадлежности для торговли / Лототроны и промоящики;2;2020-10-27;5072;1343;131;2,58;110;2,17;83,97;30;13;43,33;3189;18;0,56;2220;3242752;520153;13,82;3762905;2847;830;1815297;29,15;38,47;134;200099;3292,75;1575;236;20706;2186,56;1663;4,81;4,84;92,3
